civA Name, civB Name, CivA total techs, CivB total techs, shared techs
Britons,Romans,140,128,121
Britons,Saracens,140,145,131
Britons,Sicilians,140,137,126
Britons,Slavs,140,135,128
Britons,Spanish,140,148,133
Britons,Tatars,140,139,123
Britons,Teutons,140,142,130
Britons,Turks,140,144,129
Britons,Vietnamese,140,143,131
Britons,Vikings,140,132,125
Bulgarians,Bulgarians,134,134,134
Bulgarians,Burgundians,134,140,118
Bulgarians,Burmese,134,141,125
Bulgarians,Byzantines,134,147,120
Bulgarians,Celts,134,136,120
Bulgarians,Chinese,134,142,122
Bulgarians,Cumans,134,128,113
Bulgarians,Dravidians,134,139,110
Bulgarians,Ethiopians,134,141,125
Bulgarians,Franks,134,134,119
Bulgarians,Georgians,134,140,124
Bulgarians,Goths,134,125,111
Bulgarians,Gurjaras,134,137,116
Bulgarians,Hindustanis,134,133,114
Bulgarians,Huns,134,122,111
Bulgarians,Incas,134,133,111
Bulgarians,Italians,134,145,121
Bulgarians,Japanese,134,141,122
Bulgarians,Khmer,134,139,124
Bulgarians,Koreans,134,142,119
Bulgarians,Lithuanians,134,142,120
Bulgarians,Magyars,134,135,121
Bulgarians,Malay,134,139,119
Bulgarians,Malians,134,141,120
Bulgarians,Mayans,134,131,109
Bulgarians,Mongols,134,135,119
Bulgarians,Persians,134,140,122
Bulgarians,Poles,134,136,118
Bulgarians,Portuguese,134,146,122
Bulgarians,Romans,134,128,115
Bulgarians,Saracens,134,145,124
Bulgarians,Sicilians,134,137,118
Bulgarians,Slavs,134,135,121
Bulgarians,Spanish,134,148,124
Bulgarians,Tatars,134,139,119
Bulgarians,Teutons,134,142,121
Bulgarians,Turks,134,144,120
Bulgarians,Vietnamese,134,143,118
Bulgarians,Vikings,134,132,113
Burgundians,Burgundians,140,140,140
Burgundians,Burmese,140,141,129
Burgundians,Byzantines,140,147,132
Burgundians,Celts,140,136,123
Burgundians,Chinese,140,142,128
Burgundians,Cumans,140,128,116
Burgundians,Dravidians,140,139,121
Burgundians,Ethiopians,140,141,125
Burgundians,Franks,140,134,125
Burgundians,Georgians,140,140,127
Burgundians,Goths,140,125,116
Burgundians,Gurjaras,140,137,119
Burgundians,Hindustanis,140,133,120
Burgundians,Huns,140,122,113
Burgundians,Incas,140,133,117
Burgundians,Italians,140,145,135
Burgundians,Japanese,140,141,128
Burgundians,Khmer,140,139,126
Burgundians,Koreans,140,142,128
Burgundians,Lithuanians,140,142,133
Burgundians,Magyars,140,135,121
Burgundians,Malay,140,139,126
Burgundians,Malians,140,141,127
Burgundians,Mayans,140,131,116
Burgundians,Mongols,140,135,119
Burgundians,Persians,140,140,123
Burgundians,Poles,140,136,126
Burgundians,Portuguese,140,146,131
Burgundians,Romans,140,128,119
Burgundians,Saracens,140,145,128
Burgundians,Sicilians,140,137,119
Burgundians,Slavs,140,135,124
Burgundians,Spanish,140,148,135
Burgundians,Tatars,140,139,124
Burgundians,Teutons,140,142,131
Burgundians,Turks,140,144,128
Burgundians,Vietnamese,140,143,129
Burgundians,Vikings,140,132,119
Burmese,Burmese,141,141,141
Burmese,Byzantines,141,147,128
Burmese,Celts,141,136,124
Burmese,Chinese,141,142,128
Burmese,Cumans,141,128,115
Burmese,Dravidians,141,139,121
Burmese,Ethiopians,141,141,129
Burmese,Franks,141,134,126
Burmese,Georgians,141,140,128
Burmese,Goths,141,125,116
Burmese,Gurjaras,141,137,119
Burmese,Hindustanis,141,133,121
Burmese,Huns,141,122,114
Burmese,Incas,141,133,116
Burmese,Italians,141,145,132
Burmese,Japanese,141,141,132
Burmese,Khmer,141,139,130
Burmese,Koreans,141,142,128
Burmese,Lithuanians,141,142,130
Burmese,Magyars,141,135,125
Burmese,Malay,141,139,127
Burmese,Malians,141,141,127
Burmese,Mayans,141,131,115
Burmese,Mongols,141,135,119
Burmese,Persians,141,140,126
Burmese,Poles,141,136,123
Burmese,Portuguese,141,146,132
Burmese,Romans,141,128,120
Burmese,Saracens,141,145,132
Burmese,Sicilians,141,137,120
Burmese,Slavs,141,135,128
Burmese,Spanish,141,148,131
Burmese,Tatars,141,139,125
Burmese,Teutons,141,142,128
Burmese,Turks,141,144,129
Burmese,Vietnamese,141,143,131
Burmese,Vikings,141,132,121
Byzantines,Byzantines,147,147,147
Byzantines,Celts,147,136,127
Byzantines,Chinese,147,142,133
Byzantines,Cumans,147,128,118
Byzantines,Dravidians,147,139,125
Byzantines,Ethiopians,147,141,131
Byzantines,Franks,147,134,127
Byzantines,Georgians,147,140,127
Byzantines,Goths,147,125,117
Byzantines,Gurjaras,147,137,122
Byzantines,Hindustanis,147,133,122
Byzantines,Huns,147,122,117
Byzantines,Incas,147,133,121
Byzantines,Italians,147,145,136
Byzantines,Japanese,147,141,132
Byzantines,Khmer,147,139,125
Byzantines,Koreans,147,142,132
Byzantines,Lithuanians,147,142,134
Byzantines,Magyars,147,135,125
Byzantines,Malay,147,139,127
Byzantines,Malians,147,141,133
Byzantines,Mayans,147,131,120
Byzantines,Mongols,147,135,123
Byzantines,Persians,147,140,127
Byzantines,Poles,147,136,127
Byzantines,Portuguese,147,146,133
Byzantines,Romans,147,128,119
Byzantines,Saracens,147,145,136
Byzantines,Sicilians,147,137,121
Byzantines,Slavs,147,135,126
Byzantines,Spanish,147,148,139
Byzantines,Tatars,147,139,125
Byzantines,Teutons,147,142,132
Byzantines,Turks,147,144,134
Byzantines,Vietnamese,147,143,133
Byzantines,Vikings,147,132,121
Celts,Celts,136,136,136
Celts,Chinese,136,142,126
Celts,Cumans,136,128,116
Celts,Dravidians,136,139,119
Celts,Ethiopians,136,141,129
Celts,Franks,136,134,124
Celts,Georgians,136,140,126
Celts,Goths,136,125,113
Celts,Gurjaras,136,137,116
Celts,Hindustanis,136,133,114
Celts,Huns,136,122,112
Celts,Incas,136,133,118
Celts,Italians,136,145,124
Celts,Japanese,136,141,126
Celts,Khmer,136,139,124
Celts,Koreans,136,142,126
Celts,Lithuanians,136,142,122
Celts,Magyars,136,135,123
Celts,Malay,136,139,122
Celts,Malians,136,141,125
Celts,Mayans,136,131,116
Celts,Mongols,136,135,123
Celts,Persians,136,140,122
Celts,Poles,136,136,121
Celts,Portuguese,136,146,126
Celts,Romans,136,128,116
Celts,Saracens,136,145,127
Celts,Sicilians,136,137,123
Celts,Slavs,136,135,124
Celts,Spanish,136,148,129
Celts,Tatars,136,139,119
Celts,Teutons,136,142,127
Celts,Turks,136,144,126
Celts,Vietnamese,136,143,124
Celts,Vikings,136,132,121
Chinese,Chinese,142,142,142
Chinese,Cumans,142,128,117
Chinese,Dravidians,142,139,124
Chinese,Ethiopians,142,141,134
Chinese,Franks,142,134,124
Chinese,Georgians,142,140,124
Chinese,Goths,142,125,118
Chinese,Gurjaras,142,137,121
Chinese,Hindustanis,142,133,121
Chinese,Huns,142,122,116
Chinese,Incas,142,133,120
Chinese,Italians,142,145,133
Chinese,Japanese,142,141,131
Chinese,Khmer,142,139,128
Chinese,Koreans,142,142,129
Chinese,Lithuanians,142,142,130
Chinese,Magyars,142,135,125
Chinese,Malay,142,139,126
Chinese,Malians,142,141,130
Chinese,Mayans,142,131,121
Chinese,Mongols,142,135,126
Chinese,Persians,142,140,127
Chinese,Poles,142,136,126
Chinese,Portuguese,142,146,132
Chinese,Romans,142,128,121
Chinese,Saracens,142,145,132
Chinese,Sicilians,142,137,123
Chinese,Slavs,142,135,126
Chinese,Spanish,142,148,135
Chinese,Tatars,142,139,127
Chinese,Teutons,142,142,129
Chinese,Turks,142,144,133
Chinese,Vietnamese,142,143,132
Chinese,Vikings,142,132,122
Cumans,Cumans,128,128,128
Cumans,Dravidians,128,139,108
Cumans,Ethiopians,128,141,118
Cumans,Franks,128,134,113
Cumans,Georgians,128,140,115
Cumans,Goths,128,125,113
Cumans,Gurjaras,128,137,106
Cumans,Hindustanis,128,133,109
Cumans,Huns,128,122,114
Cumans,Incas,128,133,107
Cumans,Italians,128,145,116
Cumans,Japanese,128,141,115
Cumans,Khmer,128,139,115
Cumans,Koreans,128,142,112
Cumans,Lithuanians,128,142,117
Cumans,Magyars,128,135,118
Cumans,Malay,128,139,112
Cumans,Malians,128,141,118
Cumans,Mayans,128,131,108
Cumans,Mongols,128,135,119
Cumans,Persians,128,140,119
Cumans,Poles,128,136,111
Cumans,Portuguese,128,146,115
Cumans,Romans,128,128,110
Cumans,Saracens,128,145,118
Cumans,Sicilians,128,137,115
Cumans,Slavs,128,135,118
Cumans,Spanish,128,148,119
Cumans,Tatars,128,139,118
Cumans,Teutons,128,142,118
Cumans,Turks,128,144,117
Cumans,Vietnamese,128,143,114
Cumans,Vikings,128,132,110
Dravidians,Dravidians,139,139,139
Dravidians,Ethiopians,139,141,122
Dravidians,Franks,139,134,118
Dravidians,Georgians,139,140,117
Dravidians,Goths,139,125,109
Dravidians,Gurjaras,139,137,118
Dravidians,Hindustanis,139,133,117
Dravidians,Huns,139,122,103
Dravidians,Incas,139,133,116
Dravidians,Italians,139,145,128
Dravidians,Japanese,139,141,126
Dravidians,Khmer,139,139,117
Dravidians,Koreans,139,142,126
Dravidians,Lithuanians,139,142,123
Dravidians,Magyars,139,135,115
Dravidians,Malay,139,139,122
Dravidians,Malians,139,141,121
Dravidians,Mayans,139,131,117
Dravidians,Mongols,139,135,114
Dravidians,Persians,139,140,118
Dravidians,Poles,139,136,118
Dravidians,Portuguese,139,146,126
Dravidians,Romans,139,128,108
Dravidians,Saracens,139,145,125
Dravidians,Sicilians,139,137,115
Dravidians,Slavs,139,135,118
Dravidians,Spanish,139,148,128
Dravidians,Tatars,139,139,115
Dravidians,Teutons,139,142,126
Dravidians,Turks,139,144,123
Dravidians,Vietnamese,139,143,126
Dravidians,Vikings,139,132,116
Ethiopians,Ethiopians,141,141,141
Ethiopians,Franks,141,134,123
Ethiopians,Georgians,141,140,125
Ethiopians,Goths,141,125,118
Ethiopians,Gurjaras,141,137,122
Ethiopians,Hindustanis,141,133,121
Ethiopians,Huns,141,122,116
Ethiopians,Incas,141,133,120
Ethiopians,Italians,141,145,130
Ethiopians,Japanese,141,141,129
Ethiopians,Khmer,141,139,128
Ethiopians,Koreans,141,142,130
Ethiopians,Lithuanians,141,142,127
Ethiopians,Magyars,141,135,125
Ethiopians,Malay,141,139,128
Ethiopians,Malians,141,141,130
Ethiopians,Mayans,141,131,121
Ethiopians,Mongols,141,135,127
Ethiopians,Persians,141,140,127
Ethiopians,Poles,141,136,123
Ethiopians,Portuguese,141,146,130
Ethiopians,Romans,141,128,120
Ethiopians,Saracens,141,145,132
Ethiopians,Sicilians,141,137,122
Ethiopians,Slavs,141,135,126
Ethiopians,Spanish,141,148,132
Ethiopians,Tatars,141,139,125
Ethiopians,Teutons,141,142,127
Ethiopians,Turks,141,144,131
Ethiopians,Vietnamese,141,143,128
Ethiopians,Vikings,141,132,121
Franks,Franks,134,134,134
Franks,Georgians,134,140,125
Franks,Goths,134,125,114
Franks,Gurjaras,134,137,115
Franks,Hindustanis,134,133,118
Franks,Huns,134,122,111
Franks,Incas,134,133,114
Franks,Italians,134,145,125
Franks,Japanese,134,141,127
Franks,Khmer,134,139,123
Franks,Koreans,134,142,123
Franks,Lithuanians,134,142,125
Franks,Magyars,134,135,123
Franks,Malay,134,139,119
Franks,Malians,134,141,125
Franks,Mayans,134,131,112
Franks,Mongols,134,135,119
Franks,Persians,134,140,124
Franks,Poles,134,136,121
Franks,Portuguese,134,146,125
Franks,Romans,134,128,116
Franks,Saracens,134,145,127
Franks,Sicilians,134,137,121
Franks,Slavs,134,135,126
Franks,Spanish,134,148,129
Franks,Tatars,134,139,119
Franks,Teutons,134,142,128
Franks,Turks,134,144,122
Franks,Vietnamese,134,143,123
Franks,Vikings,134,132,120
Georgians,Georgians,140,140,140
Georgians,Goths,140,125,114
Georgians,Gurjaras,140,137,117
Georgians,Hindustanis,140,133,117
Georgians,Huns,140,122,110
Georgians,Incas,140,133,117
Georgians,Italians,140,145,128
Georgians,Japanese,140,141,128
Georgians,Khmer,140,139,127
Georgians,Koreans,140,142,125
Georgians,Lithuanians,140,142,126
Georgians,Magyars,140,135,122
Georgians,Malay,140,139,120
Georgians,Malians,140,141,127
Georgians,Mayans,140,131,115
Georgians,Mongols,140,135,122
Georgians,Persians,140,140,124
Georgians,Poles,140,136,126
Georgians,Portuguese,140,146,128
Georgians,Romans,140,128,118
Georgians,Saracens,140,145,129
Georgians,Sicilians,140,137,121
Georgians,Slavs,140,135,126
Georgians,Spanish,140,148,131
Georgians,Tatars,140,139,121
Georgians,Teutons,140,142,129
Georgians,Turks,140,144,126
Georgians,Vietnamese,140,143,124
Georgians,Vikings,140,132,118
Goths,Goths,125,125,125
Goths,Gurjaras,125,137,108
Goths,Hindustanis,125,133,110
Goths,Huns,125,122,110
Goths,Incas,125,133,106
Goths,Italians,125,145,119
Goths,Japanese,125,141,115
Goths,Khmer,125,139,117
Goths,Koreans,125,142,115
Goths,Lithuanians,125,142,118
Goths,Magyars,125,135,116
Goths,Malay,125,139,113
Goths,Malians,125,141,115
Goths,Mayans,125,131,108
Goths,Mongols,125,135,112
Goths,Persians,125,140,118
Goths,Poles,125,136,111
Goths,Portuguese,125,146,117
Goths,Romans,125,128,111
Goths,Saracens,125,145,113
Goths,Sicilians,125,137,115
Goths,Slavs,125,135,114
Goths,Spanish,125,148,120
Goths,Tatars,125,139,113
Goths,Teutons,125,142,117
Goths,Turks,125,144,115
Goths,Vietnamese,125,143,115
Goths,Vikings,125,132,107
Gurjaras,Gurjaras,137,137,137
Gurjaras,Hindustanis,137,133,119
Gurjaras,Huns,137,122,104
Gurjaras,Incas,137,133,111
Gurjaras,Italians,137,145,123
Gurjaras,Japanese,137,141,118
Gurjaras,Khmer,137,139,119
Gurjaras,Koreans,137,142,115
Gurjaras,Lithuanians,137,142,120
Gurjaras,Magyars,137,135,116
Gurjaras,Malay,137,139,116
Gurjaras,Malians,137,141,124
Gurjaras,Mayans,137,131,112
Gurjaras,Mongols,137,135,116
Gurjaras,Persians,137,140,117
Gurjaras,Poles,137,136,115
Gurjaras,Portuguese,137,146,122
Gurjaras,Romans,137,128,109
Gurjaras,Saracens,137,145,123
Gurjaras,Sicilians,137,137,111
Gurjaras,Slavs,137,135,114
Gurjaras,Spanish,137,148,122
Gurjaras,Tatars,137,139,115
Gurjaras,Teutons,137,142,119
Gurjaras,Turks,137,144,124
Gurjaras,Vietnamese,137,143,118
Gurjaras,Vikings,137,132,110
Hindustanis,Hindustanis,133,133,133
Hindustanis,Huns,133,122,107
Hindustanis,Incas,133,133,109
Hindustanis,Italians,133,145,124
Hindustanis,Japanese,133,141,123
Hindustanis,Khmer,133,139,120
Hindustanis,Koreans,133,142,119
Hindustanis,Lithuanians,133,142,122
Hindustanis,Magyars,133,135,118
Hindustanis,Malay,133,139,114
Hindustanis,Malians,133,141,121
Hindustanis,Mayans,133,131,106
Hindustanis,Mongols,133,135,117
Hindustanis,Persians,133,140,121
Hindustanis,Poles,133,136,118
Hindustanis,Portuguese,133,146,121
Hindustanis,Romans,133,128,110
Hindustanis,Saracens,133,145,128
Hindustanis,Sicilians,133,137,111
Hindustanis,Slavs,133,135,120
Hindustanis,Spanish,133,148,124
Hindustanis,Tatars,133,139,118
Hindustanis,Teutons,133,142,119
Hindustanis,Turks,133,144,121
Hindustanis,Vietnamese,133,143,120
Hindustanis,Vikings,133,132,111
Huns,Huns,122,122,122
Huns,Incas,122,133,102
Huns,Italians,122,145,112
Huns,Japanese,122,141,113
Huns,Khmer,122,139,113
Huns,Koreans,122,142,108
Huns,Lithuanians,122,142,114
Huns,Magyars,122,135,115
Huns,Malay,122,139,110
Huns,Malians,122,141,111
Huns,Mayans,122,131,104
Huns,Mongols,122,135,113
Huns,Persians,122,140,114
Huns,Poles,122,136,107
Huns,Portuguese,122,146,113
Huns,Romans,122,128,109
Huns,Saracens,122,145,116
Huns,Sicilians,122,137,112
Huns,Slavs,122,135,113
Huns,Spanish,122,148,118
Huns,Tatars,122,139,114
Huns,Teutons,122,142,111
Huns,Turks,122,144,116
Huns,Vietnamese,122,143,112
Huns,Vikings,122,132,107
Incas,Incas,133,133,133
Incas,Italians,133,145,121
Incas,Japanese,133,141,121
Incas,Khmer,133,139,118
Incas,Koreans,133,142,117
Incas,Lithuanians,133,142,118
Incas,Magyars,133,135,116
Incas,Malay,133,139,121
Incas,Malians,133,141,118
Incas,Mayans,133,131,126
Incas,Mongols,133,135,113
Incas,Persians,133,140,112
Incas,Poles,133,136,117
Incas,Portuguese,133,146,119
Incas,Romans,133,128,111
Incas,Saracens,133,145,119
Incas,Sicilians,133,137,114
Incas,Slavs,133,135,116
Incas,Spanish,133,148,120
Incas,Tatars,133,139,113
Incas,Teutons,133,142,120
Incas,Turks,133,144,116
Incas,Vietnamese,133,143,119
Incas,Vikings,133,132,113
Italians,Italians,145,145,145
Italians,Japanese,145,141,134
Italians,Khmer,145,139,129
Italians,Koreans,145,142,134
Italians,Lithuanians,145,142,137
Italians,Magyars,145,135,126
Italians,Malay,145,139,130
Italians,Malians,145,141,133
Italians,Mayans,145,131,121
Italians,Mongols,145,135,121
Italians,Persians,145,140,127
Italians,Poles,145,136,130
Italians,Portuguese,145,146,137
Italians,Romans,145,128,119
Italians,Saracens,145,145,134
Italians,Sicilians,145,137,122
Italians,Slavs,145,135,126
Italians,Spanish,145,148,139
Italians,Tatars,145,139,126
Italians,Teutons,145,142,133
Italians,Turks,145,144,134
Italians,Vietnamese,145,143,135
Italians,Vikings,145,132,122
Japanese,Japanese,141,141,141
Japanese,Khmer,141,139,129
Japanese,Koreans,141,142,131
Japanese,Lithuanians,141,142,130
Japanese,Magyars,141,135,128
Japanese,Malay,141,139,127
Japanese,Malians,141,141,128
Japanese,Mayans,141,131,118
Japanese,Mongols,141,135,124
Japanese,Persians,141,140,125
Japanese,Poles,141,136,127
Japanese,Portuguese,141,146,131
Japanese,Romans,141,128,120
Japanese,Saracens,141,145,136
Japanese,Sicilians,141,137,122
Japanese,Slavs,141,135,129
Japanese,Spanish,141,148,134
Japanese,Tatars,141,139,125
Japanese,Teutons,141,142,129
Japanese,Turks,141,144,130
Japanese,Vietnamese,141,143,130
Japanese,Vikings,141,132,123
Khmer,Khmer,139,139,139
Khmer,Koreans,139,142,124
Khmer,Lithuanians,139,142,128
Khmer,Magyars,139,135,126
Khmer,Malay,139,139,125
Khmer,Malians,139,141,126
Khmer,Mayans,139,131,116
Khmer,Mongols,139,135,122
Khmer,Persians,139,140,126
Khmer,Poles,139,136,123
Khmer,Portuguese,139,146,128
Khmer,Romans,139,128,121
Khmer,Saracens,139,145,128
Khmer,Sicilians,139,137,121
Khmer,Slavs,139,135,126
Khmer,Spanish,139,148,129
Khmer,Tatars,139,139,126
Khmer,Teutons,139,142,125
Khmer,Turks,139,144,126
Khmer,Vietnamese,139,143,127
Khmer,Vikings,139,132,118
Koreans,Koreans,142,142,142
Koreans,Lithuanians,142,142,130
Koreans,Magyars,142,135,122
Koreans,Malay,142,139,126
Koreans,Malians,142,141,128
Koreans,Mayans,142,131,116
Koreans,Mongols,142,135,119
Koreans,Persians,142,140,124
Koreans,Poles,142,136,125
Koreans,Portuguese,142,146,132
Koreans,Romans,142,128,116
Koreans,Saracens,142,145,130
Koreans,Sicilians,142,137,119
Koreans,Slavs,142,135,122
Koreans,Spanish,142,148,133
Koreans,Tatars,142,139,122
Koreans,Teutons,142,142,127
Koreans,Turks,142,144,128
Koreans,Vietnamese,142,143,130
Koreans,Vikings,142,132,119
Lithuanians,Lithuanians,142,142,142
Lithuanians,Magyars,142,135,125
Lithuanians,Malay,142,139,127
Lithuanians,Malians,142,141,132
Lithuanians,Mayans,142,131,119
